date, pm25
2023/1/20, 145
2023/1/21, 150
2023/1/22, 130
2023/1/23, 156
2023/1/24, 143
2023/1/25, 152
2023/1/26, 157
2023/1/27, 147
2023/1/28, 121
2023/1/29, 102
2023/1/30, 108
2023/1/31, 137
2023/2/1, 142
2023/2/2, 141
2023/2/3, 151
2023/2/4, 156
2023/2/5, 158
2023/2/6, 160
2023/2/7, 167
2023/2/8, 166
2023/2/9, 158
2023/2/10, 150
2023/2/11, 138
2023/2/12, 129
2023/2/13, 124
2023/2/14, 105
2023/2/15, 132
2023/2/16, 162
2023/2/17, 170
2023/2/18, 173
2023/2/19, 167
2023/2/20, 158
2023/2/21, 150
2023/2/22, 166
2023/2/27, 88
2023/2/28, 84
2023/3/1, 94
2023/3/9, 92
2023/3/10, 110
2023/3/11, 119
2023/3/12, 62
2022/10/1, 103
2022/10/11, 103
2022/10/12, 109
2022/10/13, 111
2022/10/14, 124
2022/10/15, 135
2022/10/16, 102
2022/10/17, 132
2022/10/18, 127
2022/10/19, 83
2022/10/20, 122
2022/11/16, 59
2022/11/17, 77
2022/11/18, 76
2022/11/19, 101
2022/11/20, 94
2022/11/21, 82
2022/11/22, 48
2022/11/23, 85
2022/11/24, 83
2022/11/25, 107
2022/11/26, 108
2022/11/27, 100
2022/11/28, 100
2022/11/29, 112
2022/12/3, 117
2022/12/4, 131
2022/12/5, 104
2022/12/6, 112
2022/12/7, 133
2022/12/8, 122
2022/12/9, 125
2022/12/10, 134
2022/12/11, 115
2022/12/12, 101
2022/12/13, 82
2022/12/14, 119
2022/12/15, 124
2022/12/16, 112
2022/12/17, 127
2022/12/18, 108
2022/12/19, 85
2022/12/20, 110
2022/12/21, 74
2022/12/22, 139
2022/12/23, 133
2022/12/24, 141
2022/12/25, 133
2022/12/26, 102
2022/12/27, 92
2022/12/28, 116
2022/12/29, 139
2022/12/30, 147
2022/12/31, 116
2023/1/1, 86
2022/7/1, 127
2022/7/2, 128
2022/7/3, 133
2022/7/4, 151
2022/7/5, 152
2022/7/6, 162
2022/7/7, 173
2022/7/8, 172
2022/7/9, 138
2022/7/10, 138
2022/7/11, 139
2022/7/12, 140
2022/7/13, 122
2022/7/14, 134
2022/7/15, 138
2022/7/16, 128
2022/7/17, 138
2022/7/18, 145
2022/7/19, 140
2022/7/20, 126
2022/7/21, 117
2022/7/22, 109
2022/7/23, 139
2022/7/24, 128
2022/7/25, 141
2022/7/26, 142
2022/7/27, 147
2022/7/28, 154
2022/7/29, 158
2022/7/30, 163
2022/7/31, 155
2022/8/1, 140
2022/8/2, 98
2022/8/3, 157
2022/8/4, 161
2022/8/5, 159
2022/8/6, 153
2022/8/7, 169
2022/9/7, 120
2022/9/8, 146
2022/9/9, 152
2022/9/10, 172
2022/9/11, 129
2022/9/12, 103
2022/9/13, 157
2022/9/14, 146
2022/9/15, 129
2022/9/16, 144
2022/9/17, 150
2022/9/18, 109
2022/9/19, 112
2022/9/20, 116
2022/9/21, 128
2022/9/22, 123
2022/9/23, 118
2022/9/24, 122
2022/9/25, 124
2022/9/26, 119
2022/9/27, 110
2022/9/28, 119
2022/9/29, 128
2022/9/30, 118
2022/4/1, 101
2022/4/2, 113
2022/4/3, 98
2022/4/4, 120
2022/4/8, 77
2022/4/9, 107
2022/4/10, 111
2022/4/11, 94
2022/4/12, 93
2022/4/13, 87
2022/4/14, 81
2022/4/15, 52
2022/4/16, 83
2022/4/17, 95
2022/4/18, 58
2022/4/19, 49
2022/4/20, 51
2022/4/21, 71
2022/4/22, 77
2022/4/23, 104
2022/4/24, 43
2022/4/25, 109
2022/4/26, 87
2022/4/27, 96
2022/4/28, 77
2022/4/29, 59
2022/4/30, 91
2022/5/1, 103
2022/5/2, 107
2022/5/3, 108
2022/5/4, 111
2022/5/5, 99
2022/5/6, 60
2022/5/7, 70
2022/5/8, 100
2022/5/9, 87
2022/5/10, 95
2022/5/11, 82
2022/5/12, 85
2022/5/13, 104
